Protein.Group,Markers
B2RXS4,CM_1
B8JK39,CM_1
G5E829,CM_1
O08917,CM_1
O55026,CM_1
O55186,CM_1
P01831,CM_1
P10852,CM_1
P11688,CM_1
P11835,CM_1
P13597,CM_1
P14094,CM_1
P15208,CM_1
P15379,CM_1
P16283,CM_1
P16406,CM_1
P18572,CM_1
P18872,CM_1
P21278,CM_1
P43406,CM_1
P53986,CM_1
P59383,CM_1
P70441,CM_1
P97370,CM_1
P97449,CM_1
P97797,CM_1
Q01341,CM_1
Q2VLH6,CM_1
Q61475,CM_1
Q61735,CM_1
Q62147,CM_1
Q64314,CM_1
Q64735,CM_1
Q6DYE8,CM_1
Q6PIE5,CM_1
Q6Q477,CM_1
Q8BHC0,CM_1
Q8VDN2,CM_1
Q91XV3,CM_1
Q9JIM1,CM_1
Q9R069,CM_1
Q9WTR5,CM_1
Q9Z2A9,CM_1
O55222,CP_1
O88492,CP_1
P11531,CP_1
P20152,CP_1
P26039,CP_1
P26231,CP_1
Q60823,CP_1
Q64727,CP_1
Q7TPR4,CP_1
Q80XB4,CP_1
Q8BWW9,CP_1
Q8C8R3,CP_1
Q8CIB5,CP_1
Q8CIN4,CP_1
Q91ZU6,CP_1
Q99JW4,CP_1
Q9EPC1,CP_1
Q9ES46,CP_1
Q9JLB0,CP_1
Q9QYB5,CP_1
O88958,CYTO_1
P00493,CYTO_1
P00920,CYTO_1
P05201,CYTO_1
P09411,CYTO_1
P10649,CYTO_1
P11404,CYTO_1
P13634,CYTO_1
P16015,CYTO_1
P16858,CYTO_1
P17751,CYTO_1
P21550,CYTO_1
P23492,CYTO_1
P34022,CYTO_1
P40936,CYTO_1
P45376,CYTO_1
P47199,CYTO_1
P50247,CYTO_1
P70697,CYTO_1
Q00612,CYTO_1
Q05816,CYTO_1
Q64669,CYTO_1
Q7TSV4,CYTO_1
Q8K157,CYTO_1
Q8QZR5,CYTO_1
Q924M7,CYTO_1
Q93092,CYTO_1
Q99KK7,CYTO_1
Q99KP3,CYTO_1
Q9CQM5,CYTO_1
Q9D0F9,CYTO_1
Q9D1A2,CYTO_1
Q9D6Y9,CYTO_1
Q9DCD0,CYTO_1
Q9JJV2,CYTO_1
Q9WVQ5,CYTO_1
Q9QXT0,ER_1
P09103,ER_1
O08795,ER_1
O08807,ER_1
O35887,ER_1
P08003,ER_1
P14211,ER_1
P27773,ER_1
P45878,ER_1
Q05186,ER_1
Q8BHN3,ER_1
Q8VCT4,ER_1
Q91W90,ER_1
Q9D1Q6,ER_1
Q9EQH2,ER_1
E9Q401,ER_2
O54734,ER_2
O55143,ER_2
O70503,ER_2
P08113,ER_2
P35564,ER_2
P46978,ER_2
P47758,ER_2
Q3TDQ1,ER_2
Q3TMP8,ER_2
Q3U3R4,ER_2
Q61595,ER_2
Q62186,ER_2
Q6GQT9,ER_2
Q6ZQI3,ER_2
Q6ZWQ7,ER_2
Q8BFZ9,ER_2
Q8BI84,ER_2
Q8BSY0,ER_2
Q8C7X2,ER_2
Q8CCJ3,ER_2
Q8R0X7,ER_2
Q8VCM8,ER_2
Q8VHE0,ER_2
Q91V01,ER_2
Q91YQ5,ER_2
Q99KV1,ER_2
Q99LH2,ER_2
Q9CQS8,ER_2
Q9CRD2,ER_2
Q9CY27,ER_2
Q9CY50,ER_2
Q9CYN2,ER_2
Q9D024,ER_2
Q9D1G3,ER_2
Q9D8V0,ER_2
Q9DBG6,ER_2
Q9EP72,ER_2
Q9EPK6,ER_2
Q9R0E2,ER_2
Q9Z2G6,ER_2
O35075,GE_1
O35609,GE_1
O70480,GE_1
O89116,GE_1
P22892,GE_1
P24668,GE_1
P40336,GE_1
P41731,GE_1
P49817,GE_1
P84091,GE_1
P97390,GE_1
Q07113,GE_1
Q2TBE6,GE_1
Q6PGL7,GE_1
Q80XQ2,GE_1
Q80XR2,GE_1
Q8BJ48,GE_1
Q8K021,GE_1
Q9D8N2,GE_1
Q9DBH5,GE_1
Q9ER00,GE_1
Q9JIG7,GE_1
Q9WV91,GE_1
O09111,MITO_1
O55003,MITO_1
P00405,MITO_1
P19783,MITO_1
P52503,MITO_1
P53702,MITO_1
P59017,MITO_1
P97742,MITO_1
Q06185,MITO_1
Q60930,MITO_1
Q60931,MITO_1
Q61102,MITO_1
Q6P8J7,MITO_1
Q6PCP5,MITO_1
Q791T5,MITO_1
Q791V5,MITO_1
Q7TMF3,MITO_1
Q811U4,MITO_1
Q8BGA9,MITO_1
Q8BL03,MITO_1
Q8R404,MITO_1
Q91VD9,MITO_1
Q91WS0,MITO_1
Q924X2,MITO_1
Q9CPQ1,MITO_1
Q9CPQ3,MITO_1
Q9CQ75,MITO_1
Q9CQA3,MITO_1
Q9CQH3,MITO_1
Q9CQN6,MITO_1
Q9CRB9,MITO_1
Q9CZB0,MITO_1
Q9CZW5,MITO_1
Q9D0L4,MITO_1
Q9D2R6,MITO_1
Q9D880,MITO_1
Q9DC69,MITO_1
Q9DCX2,MITO_1
Q9QXX4,MITO_1
Q9Z0X1,MITO_1
Q9Z2I0,MITO_1
O88696,MITO_2
P08249,MITO_2
P09671,MITO_2
P13707,MITO_2
P16332,MITO_2
P42125,MITO_2
P47738,MITO_2
P52196,MITO_2
P54071,MITO_2
P61922,MITO_2
Q3U2A8,MITO_2
Q64433,MITO_2
Q78J03,MITO_2
Q7TSQ8,MITO_2
Q8BMF3,MITO_2
Q8BYM8,MITO_2
Q8C5H8,MITO_2
Q8CHT0,MITO_2
Q8K0D5,MITO_2
Q8K1J6,MITO_2
Q8QZS1,MITO_2
Q8R0N6,MITO_2
Q8R4N0,MITO_2
Q8VDC0,MITO_2
Q99M04,MITO_2
Q9CXT8,MITO_2
Q9D0K2,MITO_2
Q9DCW4,MITO_2
Q9EQ20,MITO_2
Q9JHI5,MITO_2
Q9JJL8,MITO_2
Q9QYR9,MITO_2
Q9Z2I8,MITO_2
P53395,MITO_3
P58064,MITO_3
Q3TBW2,MITO_3
Q80ZS3,MITO_3
Q8K2M0,MITO_3
Q8VDT9,MITO_3
Q921S7,MITO_3
Q99N85,MITO_3
Q99N92,MITO_3
Q99N93,MITO_3
Q99N95,MITO_3
Q9CPR5,MITO_3
Q9CPX7,MITO_3
Q9CQ06,MITO_3
Q9CQF0,MITO_3
Q9CQL4,MITO_3
Q9CQN7,MITO_3
Q9CQX8,MITO_3
Q9CXW2,MITO_3
Q9CZ83,MITO_3
Q9D0G0,MITO_3
Q9D0Q7,MITO_3
Q9D1H8,MITO_3
Q9D1I6,MITO_3
Q9D1N9,MITO_3
Q9D1P0,MITO_3
Q9D338,MITO_3
Q9DCU6,MITO_3
Q9EQI8,MITO_3
Q9JKF7,MITO_3
A2A8U2,NU_1
P10922,NU_1
P14733,NU_1
P15864,NU_1
P17095,NU_1
P21619,NU_1
P43274,NU_1
P43275,NU_1
P43276,NU_1
P43277,NU_1
P48678,NU_1
P62806,NU_1
Q3TEA8,NU_1
Q61029,NU_1
Q8BJS4,NU_1
Q99KK2,NU_1
Q9D6Z1,NU_1
Q9QZQ8,NU_1
Q9Z2D6,NU_1
P49312,NU_2
Q62093,NU_2
Q8VHM5,NU_2
Q8VE80,NU_2
O35691,NU_2
O88569,NU_2
P09405,NU_2
P57784,NU_2
P62315,NU_2
P62320,NU_2
P83870,NU_2
P97760,NU_2
Q60749,NU_2
Q6A068,NU_2
Q8BG05,NU_2
Q8BL97,NU_2
Q8BTI8,NU_2
Q8CCF0,NU_2
Q8K310,NU_2
Q8VEK3,NU_2
Q91VC3,NU_2
Q920B9,NU_2
Q921M3,NU_2
Q99K48,NU_2
Q99KP6,NU_2
Q9CSN1,NU_2
Q9CY57,NU_2
Q9D0E1,NU_2
Q9Z1M8,NU_2
P42925,PERO_1
P51660,PERO_1
P55096,PERO_1
P98192,PERO_1
Q5XG73,PERO_1
Q8C0I1,PERO_1
Q921H8,PERO_1
Q99P30,PERO_1
Q9R0A0,PERO_1
Q9R0H0,PERO_1
Q9Z210,PERO_1
O09061,PX_1
O35226,PX_1
O35593,PX_1
O35955,PX_1
O55234,PX_1
O70435,PX_1
O88685,PX_1
P26516,PX_1
P28063,PX_1
P28076,PX_1
P49722,PX_1
P54775,PX_1
P62192,PX_1
P62196,PX_1
P62334,PX_1
P70195,PX_1
P99026,PX_1
Q3TXS7,PX_1
Q5SSW2,PX_1
Q60692,PX_1
Q8VDM4,PX_1
Q9CX56,PX_1
Q9D8W5,PX_1
Q9JKV1,PX_1
Q9QUM9,PX_1
Q9R1P0,PX_1
Q9R1P1,PX_1
Q9R1P3,PX_1
Q9R1P4,PX_1
Q9WVJ2,PX_1
Q9Z2U0,PX_1
Q9Z2U1,PX_1
O55142,RCX_1
P12970,RCX_1
P14115,RCX_1
P14148,RCX_1
P14869,RCX_1
P19253,RCX_1
P27659,RCX_1
P35979,RCX_1
P35980,RCX_1
P41105,RCX_1
P47911,RCX_1
P47915,RCX_1
P47962,RCX_1
P47963,RCX_1
P51410,RCX_1
P61255,RCX_1
P61358,RCX_1
P61514,RCX_1
P62717,RCX_1
P62751,RCX_1
P62830,RCX_1
P62889,RCX_1
P62900,RCX_1
P62911,RCX_1
P62918,RCX_1
P67984,RCX_1
P84099,RCX_1
P99027,RCX_1
Q6ZWV7,RCX_1
Q8BP67,RCX_1
Q9CZM2,RCX_1
Q9D1R9,RCX_1
Q9D8E6,RCX_1
Q9JJI8,RCX_1
P14131,RCX_2
P14206,RCX_2
P25444,RCX_2
P60867,RCX_2
P62082,RCX_2
P62242,RCX_2
P62245,RCX_2
P62267,RCX_2
P62270,RCX_2
P62281,RCX_2
P62301,RCX_2
P62702,RCX_2
P62754,RCX_2
P62843,RCX_2
P62852,RCX_2
P62855,RCX_2
P62908,RCX_2
P63276,RCX_2
P63325,RCX_2
P97351,RCX_2
P97461,RCX_2
Q6ZWN5,RCX_2
Q9CZX8,RCX_2
O70433,ST_1
O70548,ST_1
P02463,ST_1
P08121,ST_1
P08122,ST_1
P09542,ST_1
P11087,ST_1
P31001,ST_1
P48787,ST_1
P49813,ST_1
P51667,ST_1
Q60675,ST_1
Q61292,ST_1
Q62234,ST_1
Q8CI51,ST_1
Q8K4G5,ST_1
Q9JI91,ST_1
Q9JJW5,ST_1
Q9QVP4,ST_1
Q9QXS1,ST_1
